fin_year,month,state_code,state_name,district_code,district_name,approved_labour_budget,avg_wage_rate_per_day_per_person,avg_days_of_employment_per_household,differently_abled_persons_worked,material_and_skilled_wages,num_completed_works,num_gps_with_nil_exp,num_ongoing_works,persondays_of_central_liability_so_far,sc_persondays,sc_workers_against_active_workers,st_persondays,st_workers_against_active_workers,total_admin_expenditure,total_expenditure,total_households_worked,total_individuals_worked,total_active_job_cards,total_active_workers,total_hhs_completed_100_days,total_job_cards_issued,total_workers,total_works_takenup,wages,women_persondays,percent_category_b_works,percent_expenditure_agri_allied,percent_nrm_expenditure,percent_payments_within_15_days,remarks,payload
2020-2021,Jan,9,Uttar Pradesh,11,Bahraich,2355618,211.5,33,136,400.31,6648,17,19687,2011896,26969,4786,1488,469,209.24,885.77,70462,53276,19985,186466,594,23986,106436,14977,1138.39,161868,23.63,19.25,77.13,95.45,NA,{}
2020-2021,Jan,9,Uttar Pradesh,12,Ballia,1008294,241.16,41,338,1501.08,13233,353,2309,1129722,10748,3435,1537,344,92.48,547.02,98074,33954,70859,191418,195,146278,107038,17365,1325.54,122061,15.12,73.63,38.8,98.25,NA,{}
2020-2021,Jan,9,Uttar Pradesh,13,Balrampur,1178375,228.76,36,518,1484.45,5142,125,13980,385996,24965,4564,1531,213,125.17,888.43,1317,116823,116704,67564,208,130191,169430,14633,1104.15,30929,50.28,48.34,45.25,93.31,NA,{}
2020-2021,Jan,9,Uttar Pradesh,14,Banda,663514,211.44,44,168,1728.7,4669,209,7082,838631,35770,306,944,12,207.72,2668.83,47631,110930,136774,113233,735,170084,84301,8781,947.16,85580,35.69,44.64,0.74,97.89,NA,{}
2020-2021,Jan,9,Uttar Pradesh,15,Barabanki,1937787,237.62,31,6,879.11,10030,245,19192,1167587,31583,4946,1428,439,452.17,1532.52,34905,115169,24448,138014,84,32786,33005,3976,922.51,81211,86.91,12.39,95.77,91.12,NA,{}
2020-2021,Jan,9,Uttar Pradesh,16,Bareilly,1454727,222.55,34,153,1181.65,5107,26,5458,573972,14748,2711,106,254,122.78,606.65,73952,102012,48799,46012,247,60688,126650,13984,1639.94,59368,56.36,48.13,53.56,96.29,NA,{}
2020-2021,Jan,9,Uttar Pradesh,17,Basti,1406226,221.45,32,137,1262.42,1436,418,18437,953349,2622,2436,1612,183,370.6,903.06,90658,133847,133150,166961,22,47329,41838,3587,1542.55,82141,66.75,59.2,96.99,97.47,NA,{}
2020-2021,Jan,9,Uttar Pradesh,18,Bhadohi,2132735,237.64,39,371,1778.08,13660,469,10841,1635871,28526,4179,834,497,368.2,986.77,43613,97232,137564,16299,82,30038,47084,9171,1728.63,26914,28.59,94.04,35.48,99.0,NA,{}
2020-2021,Jan,9,Uttar Pradesh,19,Bijnor,1471316,208.21,43,332,1331.08,10873,321,11596,1120516,9204,2195,1458,298,356.24,559.44,25173,97011,71822,161694,525,128572,160954,16972,1525.47,194255,12.09,18.98,7.9,96.2,NA,{}
2020-2021,Jan,9,Uttar Pradesh,20,Budaun,2431826,245.61,31,44,1607.93,6902,429,14343,671519,25656,4868,715,337,235.08,2764.02,56695,47930,73285,39664,126,119910,47834,14753,1259.78,124337,0.71,5.01,21.03,94.87,NA,{}
2020-2021,Jan,9,Uttar Pradesh,21,Bulandshahr,1901161,237.59,41,582,274.65,9616,390,5070,84493,42071,3147,232,59,169.96,1148.14,90480,15175,62731,34826,497,85505,111015,949,1289.46,31064,46.75,15.49,12.99,92.32,NA,{}
2020-2021,Jan,9,Uttar Pradesh,22,Chandauli,1255422,219.51,31,31,448.81,3157,23,17731,1544644,10754,3691,829,139,373.1,2809.61,8640,53293,86541,108282,4,175061,84206,5316,1870.09,199679,12.28,10.4,2.77,93.03,NA,{}
2020-2021,Jan,9,Uttar Pradesh,23,Chitrakoot,719794,202.82,49,307,979.51,10800,187,11731,2170121,40461,3447,1708,67,89.73,1882.24,85946,59771,139315,137471,539,137885,186459,19801,527.67,192017,89.78,40.81,79.97,97.65,NA,{}
2020-2021,Jan,9,Uttar Pradesh,24,Deoria,460531,228.28,50,468,1030.24,1825,164,13639,1792376,23545,2932,11,63,346.62,2316.7,7792,54205,57391,125934,262,188580,178732,2920,792.32,77287,23.29,1.48,31.27,91.51,NA,{}
2020-2021,Jan,9,Uttar Pradesh,25,Etah,1541653,205.62,33,248,662.48,3732,301,9948,1052427,28676,3986,1356,332,483.26,1364.94,71458,89289,52768,132234,926,99245,140780,1063,600.08,140089,55.49,11.7,57.76,94.5,NA,{}
2020-2021,Jan,9,Uttar Pradesh,26,Etawah,1140605,222.62,41,499,875.56,3454,76,15940,570914,6054,3085,1420,118,214.19,711.37,89736,142496,92421,140025,483,185883,149824,6579,671.47,37966,16.85,70.87,73.21,90.03,NA,{}
2020-2021,Jan,9,Uttar Pradesh,27,Farrukhabad,1888086,220.5,49,515,1037.62,1700,387,7911,562567,21949,2155,1083,262,440.35,2991.92,28575,5860,90270,135555,771,181217,123593,19005,860.96,169965,10.1,94.8,85.19,96.86,NA,{}
2020-2021,Jan,9,Uttar Pradesh,28,Fatehpur,2128703,234.73,33,447,1634.68,3280,305,15392,203761,35095,4024,607,12,52.85,1070.77,33864,35150,24621,140018,13,88987,169671,10772,1039.24,37100,31.48,11.42,65.34,96.63,NA,{}
2020-2021,Jan,9,Uttar Pradesh,29,Firozabad,1147858,218.41,40,321,816.82,3181,488,12456,1200840,4739,1387,37,178,216.13,2203.69,14120,36754,50914,56210,161,191933,43600,17387,1730.39,88742,74.48,78.95,58.4,91.78,NA,{}
2020-2021,Jan,9,Uttar Pradesh,30,Gautam Buddha Nagar,2034075,216.84,31,75,1013.96,8810,383,16915,92801,31106,3044,59,70,203.52,2100.69,81926,80671,103030,166377,426,37237,152096,3255,1261.93,2991,11.45,80.65,14.04,94.87,NA,{}
2020-2021,Jan,9,Uttar Pradesh,31,Ghaziabad,2079712,234.58,46,292,442.12,5755,369,15419,1446842,19934,4351,369,470,338.11,1160.8,14352,143817,114059,116397,639,174619,147258,8592,923.15,97624,57.07,34.61,32.95,98.54,NA,{}
2020-2021,Jan,9,Uttar Pradesh,32,Ghazipur,1397751,227.06,43,462,565.17,13518,183,12645,1113999,44099,2160,266,370,356.53,726.06,66553,118494,77528,23459,12,192175,95047,19299,832.66,171134,63.7,85.64,78.79,96.64,NA,{}
2020-2021,Jan,9,Uttar Pradesh,33,Gonda,815129,245.44,50,89,731.42,9723,177,6005,188096,46206,2536,425,427,405.44,2403.11,54097,55578,29162,93640,518,18514,78237,19039,1072.27,117843,19.38,4.78,2.66,98.73,NA,{}
2020-2021,Jan,9,Uttar Pradesh,34,Gorakhpur,793539,244.84,37,308,1892.47,11395,405,19359,1405510,12456,4749,1471,280,422.8,2416.47,26531,46820,81578,163547,961,101081,162402,19395,971.39,154665,35.15,46.53,17.18,92.53,NA,{}
2020-2021,Jan,9,Uttar Pradesh,35,Hamirpur,1712751,236.07,32,284,483.09,2606,275,15324,1671551,13737,4554,1439,332,163.27,2526.47,40278,119031,53411,45984,190,141869,24047,5272,1272.34,194314,43.61,25.97,44.73,96.55,NA,{}
2020-2021,Jan,9,Uttar Pradesh,36,Hapur,1806214,217.71,46,398,1121.05,6659,285,18098,885710,8416,4684,414,377,456.79,1373.83,17183,52866,110490,149303,666,112430,26849,1614,1106.72,135309,29.56,49.36,59.77,96.35,NA,{}
2020-2021,Jan,9,Uttar Pradesh,37,Hardoi,493840,233.55,40,203,468.47,5964,65,6640,2021404,8960,447,1621,320,122.87,1596.28,94056,76602,89153,46757,702,173849,45500,6238,1935.25,90143,14.7,12.96,31.63,99.37,NA,{}
2020-2021,Jan,9,Uttar Pradesh,38,Hathras,1928956,231.14,35,296,1975.93,7909,150,2970,671049,49792,2961,1608,289,194.89,2594.41,70876,49847,53860,22662,686,83477,167774,16540,1572.64,109398,56.35,3.32,47.62,91.34,NA,{}
2020-2021,Jan,9,Uttar Pradesh,39,Jalaun,2375200,203.86,40,448,1428.35,2286,245,10447,2368607,12645,1807,1314,180,424.19,1595.34,58384,132662,48337,52846,27,114953,194602,14406,1222.26,132697,11.78,39.56,7.51,99.94,NA,{}
2020-2021,Jan,9,Uttar Pradesh,40,Jaunpur,1877766,227.04,40,170,1360.49,8186,497,19416,2271536,35238,1147,1521,259,296.31,1526.32,29069,115071,129923,197644,85,119573,163497,18470,998.74,152916,4.83,27.66,60.94,97.71,NA,{}
2020-2021,Jan,9,Uttar Pradesh,41,Jhansi,2407481,236.74,42,401,1724.98,12940,459,10962,992623,13281,3645,1205,134,292.69,1651.11,17812,125944,143039,60721,838,194814,158070,7979,1519.61,138358,14.68,42.19,13.7,99.95,NA,{}
2020-2021,Jan,9,Uttar Pradesh,42,Kannauj,1975784,216.71,36,523,228.86,1292,321,5400,1465984,33129,2880,1974,7,490.81,2881.44,1289,63208,136473,188935,850,186967,164733,6264,1747.58,56260,19.34,83.81,58.08,97.3,NA,{}
2020-2021,Jan,9,Uttar Pradesh,43,Kanpur Dehat,827251,200.8,44,425,1731.19,2846,400,15836,1060738,36009,2162,270,412,118.2,2278.97,86800,56349,123370,31516,991,165258,129000,3232,1830.54,35482,61.48,25.06,98.21,90.53,NA,{}
2020-2021,Jan,9,Uttar Pradesh,44,Kanpur Nagar,1126905,201.41,46,239,1248.77,8617,83,8336,1997405,15913,252,295,197,156.07,1791.04,8072,31694,104630,154625,977,189932,114142,5393,1933.62,15240,42.24,37.95,30.38,97.11,NA,{}
2020-2021,Jan,9,Uttar Pradesh,45,Kasganj,2433977,218.91,31,549,1591.77,7065,339,4268,1367787,43047,3847,188,341,157.34,1092.04,81829,17236,115706,40439,90,119908,159720,12484,1833.45,71635,13.67,9.55,79.7,95.39,NA,{}
2020-2021,Jan,9,Uttar Pradesh,46,Kaushambi,1431782,223.91,34,256,815.21,3873,215,7715,2189580,36724,969,1518,473,445.17,582.54,23338,61359,12016,175408,295,38085,86839,8519,1510.46,110029,66.01,21.46,58.66,96.14,NA,{}
2020-2021,Jan,9,Uttar Pradesh,47,Kushinagar,814953,202.76,50,574,285.96,6907,296,15132,662225,39896,167,442,10,421.39,2747.26,71095,114194,87263,28583,496,48227,103507,1349,1476.82,149232,70.77,44.95,32.78,96.38,NA,{}
2020-2021,Jan,9,Uttar Pradesh,48,Lakhimpur Kheri,1101565,215.39,33,68,1574.08,9194,316,14820,2174572,46901,1462,1141,385,243.91,1353.05,52865,127875,47946,38704,28,75723,84122,1780,1966.72,139668,79.09,6.32,96.32,98.92,NA,{}
2020-2021,Jan,9,Uttar Pradesh,49,Lalitpur,1744009,209.65,32,364,304.25,13706,277,2096,1169043,45222,2507,411,221,247.29,2849.99,50175,117765,62255,21717,790,88591,99198,10950,984.26,107280,48.72,49.56,30.31,99.84,NA,{}
2020-2021,Jan,9,Uttar Pradesh,50,Lucknow,2470621,225.42,48,96,1366.76,14335,282,10051,2357086,14194,1723,179,441,351.83,2029.79,16945,119522,86343,47461,202,14185,83653,5713,1979.65,153392,54.69,93.68,58.75,90.69,NA,{}
2020-2021,Jan,9,Uttar Pradesh,51,Maharajganj,1983929,230.72,37,457,1573.02,14175,229,7010,854974,28391,2775,1793,57,93.04,2522.33,65720,145127,139574,182702,730,71250,140314,5267,1771.09,199934,9.5,40.41,93.75,92.65,NA,{}
2020-2021,Jan,9,Uttar Pradesh,52,Mahoba,984314,234.5,31,194,581.1,14544,438,17654,492686,24327,2150,1352,315,277.19,2191.86,69292,121715,148597,127545,404,99319,153413,2448,1648.81,144826,86.92,76.31,65.14,96.99,NA,{}
2020-2021,Jan,9,Uttar Pradesh,53,Mainpuri,1886534,200.98,37,421,820.55,10883,379,4028,1604287,45798,4538,746,179,159.22,1840.63,52945,29250,130573,53496,573,102091,59007,5188,1866.48,198766,3.57,54.11,17.57,98.72,NA,{}
2020-2021,Jan,9,Uttar Pradesh,54,Mathura,1725374,205.48,38,7,801.0,2737,163,18926,462857,45085,2838,1143,329,307.48,1821.35,78376,29680,116506,30960,692,190628,122132,12819,1940.35,77399,59.02,68.21,44.03,91.4,NA,{}
2020-2021,Jan,9,Uttar Pradesh,55,Mau,2328906,230.9,49,123,1723.77,1027,230,14846,390857,39228,308,1049,483,311.95,2804.37,44999,112811,45461,175698,187,120959,130345,8966,1267.91,83092,94.18,12.27,90.12,96.24,NA,{}
2020-2021,Jan,9,Uttar Pradesh,56,Meerut,1163586,223.17,46,236,175.58,7126,362,11673,1092131,48756,359,1535,210,397.17,1268.06,95817,92329,55908,141585,790,41980,170054,6374,1782.13,106017,36.37,62.52,54.33,96.97,NA,{}
2020-2021,Jan,9,Uttar Pradesh,57,Mirzapur,795065,218.8,40,484,568.56,3780,380,14604,2140064,21487,2558,57,481,361.5,825.96,98188,45247,55593,80096,713,61460,52490,5549,556.16,23056,13.76,17.35,55.63,99.46,NA,{}
2020-2021,Jan,9,Uttar Pradesh,58,Moradabad,1381136,227.19,45,438,933.69,1000,56,11455,822422,49036,1174,330,483,253.64,1136.76,51025,23718,113831,174615,785,180474,178371,3957,1429.57,161655,81.98,3.46,50.49,90.52,NA,{}
2020-2021,Jan,9,Uttar Pradesh,59,Muzaffarnagar,1871888,201.73,31,172,1581.32,14120,188,2268,663611,17215,1870,790,358,63.62,505.14,52529,11544,13198,152096,759,127772,17071,4503,1949.54,171319,8.78,71.64,15.35,93.87,NA,{}
2020-2021,Jan,9,Uttar Pradesh,60,Pilibhit,1907591,227.49,40,193,1471.91,4044,386,19228,1217239,18989,2251,871,272,163.23,2315.84,95860,93142,39624,86060,268,56081,102526,4959,1068.43,105995,62.3,78.22,13.37,90.67,NA,{}
2020-2021,Jan,9,Uttar Pradesh,61,Pratapgarh,1941065,238.92,47,355,699.63,12504,47,6697,543842,28647,3613,1669,461,388.13,2057.95,65289,111019,135159,126545,873,146542,172195,4092,971.7,44287,32.03,42.62,37.97,96.33,NA,{}
2020-2021,Jan,9,Uttar Pradesh,62,Raebareli,1178450,245.06,35,310,706.86,2490,412,16302,227799,34656,3956,1562,397,218.62,2734.86,88901,120848,97300,21573,206,183849,129412,9522,1286.27,88519,18.31,64.57,42.79,94.99,NA,{}
2020-2021,Jan,9,Uttar Pradesh,63,Rampur,1618962,242.51,40,200,761.87,3585,478,9830,1497583,46103,631,1325,429,336.03,1056.06,70566,100833,103826,199659,867,15527,54703,12249,1902.06,1153,99.84,30.72,88.99,97.06,NA,{}
2020-2021,Jan,9,Uttar Pradesh,64,Saharanpur,428777,209.97,46,586,1321.73,3532,388,11479,1216586,35433,2385,1031,240,471.88,2956.84,70867,137451,147974,179972,735,164971,48883,4917,1289.2,27116,44.04,75.25,64.89,99.2,NA,{}
2020-2021,Jan,9,Uttar Pradesh,65,Sambhal,527762,222.32,37,598,1285.76,10313,20,13480,1818214,11229,4756,1220,395,221.79,1492.77,2047,14219,59925,136089,512,112392,52315,12978,942.91,10668,55.86,25.44,61.28,93.96,NA,{}
2020-2021,Jan,9,Uttar Pradesh,66,Sant Kabir Nagar,2384735,238.25,43,264,1100.45,3307,460,19759,675514,1042,984,1612,425,338.66,1395.19,19970,115869,48556,90144,340,21871,149450,5559,1322.47,44916,4.32,84.78,70.81,97.91,NA,{}
2020-2021,Jan,9,Uttar Pradesh,67,Shahjahanpur,668680,225.65,37,431,1618.63,4272,90,5567,1475627,1158,4452,1109,303,209.01,1576.22,38503,111666,129607,128461,781,104511,17309,4130,844.01,92375,66.22,78.55,7.74,90.08,NA,{}
2020-2021,Jan,9,Uttar Pradesh,68,Shamli,1323241,228.94,39,282,485.94,2367,304,4553,2135606,8578,3790,633,296,384.25,2239.4,90707,54498,102181,116052,74,182971,72471,5765,1761.2,190463,15.24,33.24,72.85,99.67,NA,{}
2020-2021,Jan,9,Uttar Pradesh,69,Shravasti,964405,202.49,44,586,1354.54,2795,8,13151,498247,40015,1513,1223,445,369.79,1106.9,9693,56588,49025,166864,623,130585,88044,16126,1140.57,88985,94.74,85.9,94.6,97.4,NA,{}
2020-2021,Jan,9,Uttar Pradesh,70,Siddharthnagar,2487622,219.87,34,217,1281.16,10006,116,12086,1547136,24864,1508,429,72,398.46,2384.2,76893,31028,138277,75425,937,119344,160133,3054,1038.15,91301,68.09,46.82,30.26,93.61,NA,{}
2020-2021,Jan,9,Uttar Pradesh,71,Sitapur,1549249,236.82,41,281,1327.63,9929,447,4764,722245,24943,2923,1354,47,480.91,1374.73,12800,130041,66598,14647,100,66708,87430,9149,1021.56,10060,78.05,24.95,78.05,93.27,NA,{}
2020-2021,Jan,9,Uttar Pradesh,72,Sonbhadra,1678440,228.63,50,431,711.62,11458,132,8409,2071972,13027,1407,394,247,387.91,2896.26,72464,85406,76866,59109,908,90949,100995,9533,741.46,113479,23.34,90.93,30.95,97.59,NA,{}
2020-2021,Jan,9,Uttar Pradesh,73,Sultanpur,1193750,204.27,42,268,340.14,1602,485,10720,937376,8213,4510,1513,176,216.36,902.36,87161,76571,128227,144485,5,82866,136482,15510,1790.49,57618,41.13,3.09,66.27,99.51,NA,{}
2020-2021,Jan,9,Uttar Pradesh,74,Unnao,958027,230.79,35,146,1673.9,6608,69,9624,1488755,7320,2480,1053,306,487.25,995.72,25535,88946,87959,44407,733,71806,116357,17572,1173.87,103678,99.89,9.49,71.42,96.9,NA,{}
2020-2021,Jan,9,Uttar Pradesh,75,Varanasi,1010101,218.82,49,391,1900.29,7885,364,7696,2469042,32588,4592,142,83,242.22,2448.71,89007,25214,128124,182540,51,73533,32635,11632,1045.09,73048,57.84,6.36,59.79,93.32,NA,{}
2020-2021,Feb,9,Uttar Pradesh,1,Agra,2166386,222.51,30,10,915.52,6645,192,4739,1782650,7759,1616,946,111,297.02,1838.68,66424,52262,112741,110838,334,39288,72947,6532,1486.08,177236,99.6,68.8,97.18,90.75,NA,{}
2020-2021,Feb,9,Uttar Pradesh,2,Aligarh,2472958,234.64,30,75,250.54,3050,290,11910,1538889,33878,4704,826,356,215.54,774.53,28239,143755,123891,173157,215,196834,150026,4200,1638.1,12921,20.63,76.53,65.85,97.28,NA,{}
2020-2021,Feb,9,Uttar Pradesh,3,Allahabad,478985,225.65,50,54,1812.12,12056,113,16184,1000288,22600,746,1086,407,449.22,1991.27,75772,72698,130582,141886,664,181729,90793,13102,1482.09,142127,42.57,83.33,18.7,94.53,NA,{}
2020-2021,Feb,9,Uttar Pradesh,4,Ambedkar Nagar,1019848,238.96,43,343,292.92,6463,406,11932,1202370,30512,2964,880,229,325.64,2861.01,24707,105688,70841,75785,514,156373,132558,14313,563.58,74059,99.16,58.68,9.69,91.96,NA,{}
2020-2021,Feb,9,Uttar Pradesh,5,Amethi,2250489,219.77,43,502,1684.81,7998,62,3934,146270,16912,793,1135,410,237.16,1404.86,60183,95602,48517,133654,516,21016,125780,12779,836.35,15488,8.91,40.59,92.8,91.31,NA,{}
2020-2021,Feb,9,Uttar Pradesh,6,Amroha,1716939,215.15,30,211,1775.22,4626,106,13034,313289,1918,4623,413,75,223.67,2892.85,44728,73205,85061,125393,480,191064,109167,10007,662.35,23723,24.58,31.4,42.53,94.22,NA,{}
2020-2021,Feb,9,Uttar Pradesh,7,Auraiya,623924,237.39,48,65,1260.55,9544,200,13911,2394166,8051,4232,306,417,50.24,1541.57,78925,71947,139391,136961,150,124578,95569,3424,1292.47,136283,79.99,27.41,61.33,97.5,NA,{}
2020-2021,Feb,9,Uttar Pradesh,8,Ayodhya,1401514,233.44,47,323,111.05,3056,241,14653,2092464,33972,4105,1463,222,335.77,1728.49,85957,113736,81294,160426,115,26972,35237,11112,858.67,74579,20.08,3.46,43.98,94.27,NA,{}
2020-2021,Feb,9,Uttar Pradesh,9,Azamgarh,621299,227.16,45,295,1000.74,6995,218,2250,1130103,30121,4285,171,247,190.5,871.84,81858,40392,117430,125932,739,141909,11515,7265,1357.97,69474,30.05,70.14,17.33,98.58,NA,{}
2020-2021,Feb,9,Uttar Pradesh,10,Baghpat,1687140,243.3,41,96,566.83,6626,76,16747,57944,17495,2279,1111,128,428.01,833.04,43002,2796,100366,159167,959,113895,85574,7063,852.56,18498,94.82,74.27,83.46,98.02,NA,{}
2020-2021,Feb,9,Uttar Pradesh,11,Bahraich,1345228,219.48,34,4,594.77,689,300,18216,2321543,38425,3250,103,79,74.82,2802.47,13465,128022,51582,21359,786,109222,154262,7127,1654.24,68105,5.78,38.42,92.82,98.45,NA,{}
2020-2021,Feb,9,Uttar Pradesh,12,Ballia,897517,222.56,47,222,878.51,1270,120,11681,2198439,32665,124,599,441,488.92,820.05,14914,121998,133081,198747,111,154095,18536,2509,811.61,161833,9.1,97.07,82.91,98.08,NA,{}
2020-2021,Feb,9,Uttar Pradesh,13,Balrampur,1243516,217.01,30,16,1662.97,14720,392,18982,660560,17327,243,763,102,88.3,800.16,73706,28069,112420,101826,176,155875,146969,2702,1263.92,148178,40.79,41.81,1.74,94.12,NA,{}
2020-2021,Feb,9,Uttar Pradesh,14,Banda,1018641,235.86,47,310,504.6,8818,148,15094,1668432,19010,314,793,380,324.81,2536.46,91456,61261,144318,85221,993,23446,120971,6940,657.27,96568,51.84,66.51,63.72,96.83,NA,{}
2020-2021,Feb,9,Uttar Pradesh,15,Barabanki,880419,223.83,40,79,1531.59,14161,359,11370,822548,8372,2341,1192,64,247.36,1039.63,66758,113546,31801,180559,753,82748,150694,6636,1554.71,97775,19.21,85.6,76.81,95.1,NA,{}
2020-2021,Feb,9,Uttar Pradesh,16,Bareilly,653875,233.28,39,167,267.03,6865,112,17549,1429793,20278,4315,1901,240,77.05,1343.64,41609,82967,69354,37259,65,152689,167498,3555,1608.41,118906,51.92,7.19,67.38,95.72,NA,{}
2020-2021,Feb,9,Uttar Pradesh,17,Basti,736809,236.62,32,399,296.78,9366,450,17276,470810,18237,222,97,150,106.81,2322.65,46461,130345,119663,184632,12,17068,170495,19323,1575.88,76569,3.21,38.05,44.38,97.28,NA,{}
2020-2021,Feb,9,Uttar Pradesh,18,Bhadohi,743243,223.71,40,336,1360.18,2990,171,10080,2251688,44990,2322,887,116,499.54,1099.26,71070,109227,124623,39120,363,111040,197099,17795,941.87,37052,2.29,61.47,62.22,96.27,NA,{}
2020-2021,Feb,9,Uttar Pradesh,19,Bijnor,999487,203.64,45,192,1234.8,13424,323,11542,1756361,31423,3908,1216,488,90.5,625.63,79490,102276,56650,112992,867,97966,57022,17711,501.46,44693,54.87,31.33,37.06,93.47,NA,{}
2020-2021,Feb,9,Uttar Pradesh,20,Budaun,879246,245.34,40,145,661.32,8487,206,5697,1662596,10914,3704,1951,72,146.04,2957.43,87983,63964,120872,195601,119,42871,188308,18756,574.98,73191,31.38,52.76,56.64,97.98,NA,{}
2020-2021,Feb,9,Uttar Pradesh,21,Bulandshahr,955241,222.27,38,73,72.31,4543,66,16182,582088,13335,3200,237,68,138.89,1665.11,91060,81885,79040,96710,976,24767,48170,5954,1855.21,119823,81.11,8.19,7.99,99.76,NA,{}
2020-2021,Feb,9,Uttar Pradesh,22,Chandauli,1933481,245.36,39,287,133.02,669,311,8108,1671919,36093,4754,32,103,449.28,927.78,63485,27192,54588,157010,215,152224,65309,11712,925.25,31837,19.35,31.7,15.2,97.92,NA,{}
2020-2021,Feb,9,Uttar Pradesh,23,Chitrakoot,1040191,206.81,43,472,979.87,6060,9,6962,2062799,46287,3476,994,447,451.97,835.08,27034,64569,42161,39613,471,120789,93587,19576,1489.44,22618,12.47,66.99,37.71,93.14,NA,{}
2020-2021,Feb,9,Uttar Pradesh,24,Deoria,1701676,234.41,39,118,932.09,13917,150,14342,1270712,22795,3880,629,411,253.31,1587.52,5218,99766,54304,172777,512,23876,39387,16862,918.21,82063,47.56,61.83,64.69,93.58,NA,{}
2020-2021,Feb,9,Uttar Pradesh,25,Etah,744422,201.66,43,255,109.81,10923,103,11185,559270,3175,4677,940,307,364.38,2654.62,56893,9423,31839,89718,918,94414,184581,17365,655.1,23075,34.64,71.64,4.86,94.02,NA,{}
2020-2021,Feb,9,Uttar Pradesh,26,Etawah,1243910,248.88,45,179,745.24,5248,77,7866,2227469,2886,4490,1958,183,317.31,705.72,68376,91259,74561,101986,214,98695,66739,5239,1045.1,196665,30.17,57.56,9.37,98.07,NA,{}
2020-2021,Feb,9,Uttar Pradesh,27,Farrukhabad,2352110,232.59,48,140,872.95,9802,500,8262,1702475,14312,4425,516,320,478.79,2875.48,87459,69054,75705,37985,304,113509,34220,1977,1894.13,7099,65.11,11.91,85.52,96.66,NA,{}
